Time,´óÆøÑ¹,Õæ¿Õ1,Õæ¿Õ2,²îÑ¹A,²îÑ¹C
2020.09.29 18:20:00,100.41749,6.43099,6.3776,85.66312,85.06821
2020.09.29 18:20:10,100.41862,6.43099,6.3777,85.20522,84.56969
2020.09.29 18:20:20,100.41888,6.42431,6.37208,85.14243,84.55185
2020.09.29 18:20:30,100.41917,6.42313,6.36971,86.09089,85.54002
2020.09.29 18:20:40,100.41892,6.42759,6.37373,85.38511,84.9194
2020.09.29 18:20:50,100.41868,6.42556,6.37259,85.91046,85.1292
2020.09.29 18:21:00,100.41887,6.42195,6.3687,83.28942,82.42271
2020.09.29 18:21:10,100.41897,6.41472,6.36166,85.51714,84.96019
2020.09.29 18:21:20,100.42165,6.41705,6.36466,85.85889,85.19248
2020.09.29 18:21:30,100.42065,6.4127,6.35931,83.45689,82.86644
2020.09.29 18:21:40,100.42155,6.41116,6.35852,85.24461,84.83741
2020.09.29 18:21:50,100.4212,6.41682,6.36345,84.70651,83.96689
2020.09.29 18:22:00,100.42133,6.41451,6.3617,82.55214,82.06625
2020.09.29 18:22:10,100.42101,6.41956,6.36469,83.76891,83.11657
2020.09.29 18:22:20,100.42003,6.41954,6.36517,82.26069,81.60358
2020.09.29 18:22:30,100.4208,6.42119,6.3673,83.2709,82.75312
2020.09.29 18:22:40,100.42182,6.41714,6.36292,82.62726,82.07716
2020.09.29 18:22:50,100.42234,6.41247,6.36292,82.97121,82.25363
2020.09.29 18:23:00,100.42104,6.41165,6.35789,81.64567,80.96038
2020.09.29 18:23:10,100.42217,6.41633,6.36194,82.76285,82.31691
2020.09.29 18:23:20,100.42101,6.42504,6.37114,81.75024,81.02003
2020.09.29 18:23:30,100.42207,6.42274,6.36974,82.09578,81.55495
2020.09.29 18:23:40,100.4223,6.42087,6.36731,82.5751,82.14165
2020.09.29 18:23:50,100.42241,6.41385,6.36124,82.41858,81.93272
2020.09.29 18:24:00,100.42155,6.4115,6.35892,82.08157,81.4465
2020.09.29 18:24:10,100.42155,6.41547,6.36116,82.73009,81.33885
2020.09.29 18:24:20,100.42312,6.41353,6.36028,81.96146,81.98425
2020.09.29 18:24:30,100.42214,6.41466,6.3614,82.87853,81.98425
2020.09.29 18:24:40,100.42308,6.4202,6.36631,81.82217,81.63264
2020.09.29 18:24:50,100.42265,6.40894,6.36631,81.06577,80.72173
2020.09.29 18:25:00,100.42258,6.40732,6.3542,81.52573,81.84551
2020.09.29 18:25:10,100.4231,6.40735,6.35374,81.69926,81.15804
2020.09.29 18:25:20,100.42375,6.40626,6.35398,81.01434,80.35524
2020.09.29 18:25:30,100.42261,6.4043,6.35069,81.0274,80.4903
2020.09.29 18:25:40,100.42223,6.4068,6.35291,83.63577,83.18059
2020.09.29 18:25:50,100.42265,6.40708,6.35368,81.59956,81.02076
2020.09.29 18:26:00,100.42199,6.4029,6.34947,82.89558,82.34201
2020.09.29 18:26:10,100.42236,6.40905,6.35611,80.6144,80.01556
2020.09.29 18:26:20,100.42141,6.41597,6.36141,81.4649,80.44473
2020.09.29 18:26:30,100.42149,6.41733,6.36307,81.55422,80.95004
