id,json_key_name,imp_point_name,imp_point_metric_unit,dcs_point_name,dcs_point_metric_unit,valid_interval,json_key_memo_CN
1,power,null,null,SELMW.UNIT1@W3,MW,null,发电机功率
2,load,null,null,SELMW.UNIT1@W3,MW,null,机组负荷
3,air_p,大气压,kPa,null,null,null,大气压力
4,mainstm_p_lt,null,null,THRPRESS.UNIT1@W3,MPa,null,左侧自动主汽门前压力
5,mainstm_p_rt,null,null,DEH1-TP.UNIT1@W3,MPa,null,右侧自动主汽门前压力
6,rglt_stage_p,null,null,DEH1-PIO.UNIT1@W3,MPa,null,调节级压力
7,hptout_p_lt,null,null,10LBC10CP002.UNIT1@W3,MPa,null,左侧高缸排汽压力
8,hptout_p_rt,null,null,10LBC10CG001.UNIT1@W3,MPa,null,右侧高缸排汽压力
9,iptin_p_lt,null,null,DEH1-HRHP.UNIT1@W3,MPa,null,左侧中压自动主汽门前压力
10,iptin_p_rt,null,null,DEH1-HRHP.UNIT1@W3,MPa,null,右侧中压自动主汽门前压力
11,iptout_p_1,null,null,DEH1-OPX.UNIT1@W3,kPa,null,中缸排汽压力1
12,iptout_p_2,null,null,null,null,null,中缸排汽压力2
13,lptin_p_1,null,null,null,null,null,低压缸进汽压力1
14,lptin_p_2,null,null,null,null,null,低压缸进汽压力2
15,lptout_p_a,真空1,kPa,DEH2-CNDP1.UNIT1@W3,kPa,null,A低缸排汽压力(高压)
16,lptout_p_b,真空2,kPa,10MAG10CP001.UNIT1@W3,kPa,null,B低缸排汽压力(低压)
17,ex1_p,null,null,10LBQ10CP001.UNIT1@W3,MPa,null,一段抽气压力
18,ex2_p,null,null,10LBQ20CP001.UNIT1@W3,MPa,null,二段抽汽压力
19,ex3_p,null,null,10LBQ30CP001.UNIT1@W3,MPa,null,三段抽汽压力
20,ex4_p,null,null,10LBS40CP001.UNIT1@W3,MPa,null,四段抽汽压力
21,ex5_p,null,null,10LBS50CP001.UNIT1@W3,MPa,null,五段抽汽压力
22,ex6_p,null,null,10LBS60CP001.UNIT1@W3,MPa,null,六段抽汽压力
